R2000000,POINT (8.915096877268812 50.266944978521664),0,0.0,0.0,F
R2000001,POINT (8.915096877268812 50.266944978521664),1,176.0,251.0,F
R2000002,POINT (8.915096877268812 50.266944978521664),2,0.0,0.0,F
R2000003,POINT (8.915096877268812 50.266944978521664),3,176.0,0.0,F
R2000004,POINT (8.915096877268812 50.266944978521664),4,0.0,0.0,F
R2000005,POINT (8.915096877268812 50.266944978521664),5,0.0,0.0,F
R2000006,POINT (8.915096877268812 50.266944978521664),6,0.0,0.0,F
R2000007,POINT (8.915096877268812 50.266944978521664),7,0.0,0.0,F
R2000008,POINT (8.915096877268812 50.266944978521664),8,0.0,0.0,F
R2000009,POINT (8.915096877268812 50.266944978521664),9,0.0,0.0,F
R2000010,POINT (8.915096877268812 50.266944978521664),10,0.0,0.0,F
R2000011,POINT (8.915096877268812 50.266944978521664),11,0.0,0.0,F
R2000012,POINT (8.915096877268812 50.266944978521664),12,0.0,0.0,F
R2000013,POINT (8.915096877268812 50.266944978521664),13,0.0,0.0,F
R2000014,POINT (8.915096877268812 50.266944978521664),14,0.0,0.0,F
R2000015,POINT (8.915096877268812 50.266944978521664),15,0.0,0.0,F
R2000016,POINT (8.915096877268812 50.266944978521664),16,0.0,0.0,F
R2000017,POINT (8.915096877268812 50.266944978521664),17,0.0,0.0,F
R2000018,POINT (8.915096877268812 50.266944978521664),18,0.0,251.0,F
R2000019,POINT (8.915096877268812 50.266944978521664),19,0.0,0.0,F
